id,name,description,price,category,test_min,test_max,text_for_embedding
1,Спиннинг Shimano Catana DX 240ML 5-20г,Лёгкий и чувствительный спиннинг для микроджига и ловли окуня. Быстрый строй.,6490,Спиннинги,5.0,20.0,Спиннинг Shimano Catana DX 240ML 5-20г. Спиннинги. Лёгкий и чувствительный спиннинг для микроджига и ловли окуня. Быстрый строй. test_min_5.0 test_max_20.0
2,Спиннинг Lucky John Progress Jig 24 10-30г,Универсальный спиннинг для береговой ловли щуки и судака.,4390,Спиннинги,10.0,30.0,Спиннинг Lucky John Progress Jig 24 10-30г. Спиннинги. Универсальный спиннинг для береговой ловли щуки и судака. test_min_10.0 test_max_30.0
3,Спиннинг Maximus High Energy-X 21L 3-15г,Лайт спиннинг для мелких приманок и осторожного окуня.,3790,Спиннинги,3.0,15.0,Спиннинг Maximus High Energy-X 21L 3-15г. Спиннинги. Лайт спиннинг для мелких приманок и осторожного окуня. test_min_3.0 test_max_15.0
4,Спиннинг Волжанка Метеор 270 7-28г,Надёжный бюджетный спиннинг российского производства.,2990,Спиннинги,7.0,28.0,Спиннинг Волжанка Метеор 270 7-28г. Спиннинги. Надёжный бюджетный спиннинг российского производства. test_min_7.0 test_max_28.0
5,Спиннинг Shimano Exage 270 8-28г,Качественный спиннинг среднего класса.,7990,Спиннинги,8.0,28.0,Спиннинг Shimano Exage 270 8-28г. Спиннинги. Качественный спиннинг среднего класса. test_min_8.0 test_max_28.0
6,Спиннинг Daiwa Ninja Spin 240 10-30г,Хороший спиннинг по доступной цене.,5890,Спиннинги,10.0,30.0,Спиннинг Daiwa Ninja Spin 240 10-30г. Спиннинги. Хороший спиннинг по доступной цене. test_min_10.0 test_max_30.0
7,Катушка Shimano Stradic FL C3000,Одна из лучших катушек в среднем ценовом сегменте с плавным ходом.,12990,Катушки,,,Катушка Shimano Stradic FL C3000. Катушки. Одна из лучших катушек в среднем ценовом сегменте с плавным ходом. test_min_nan test_max_nan
8,Катушка Daiwa Ninja 2500A,Популярная катушка для лёгкого и среднего спиннинга.,5590,Катушки,,,Катушка Daiwa Ninja 2500A. Катушки. Популярная катушка для лёгкого и среднего спиннинга. test_min_nan test_max_nan
9,Катушка Ryobi Exia 3000,Надёжная бюджетная катушка с хорошей укладкой лески.,3490,Катушки,,,Катушка Ryobi Exia 3000. Катушки. Надёжная бюджетная катушка с хорошей укладкой лески. test_min_nan test_max_nan
10,Катушка Okuma Ceymar C-30,Компактная и мощная катушка для ультралайтовой ловли.,4690,Катушки,,,Катушка Okuma Ceymar C-30. Катушки. Компактная и мощная катушка для ультралайтовой ловли. test_min_nan test_max_nan
11,Катушка Shimano Twin Power 3000,Флагманская катушка премиум-класса.,18900,Катушки,,,Катушка Shimano Twin Power 3000. Катушки. Флагманская катушка премиум-класса. test_min_nan test_max_nan
12,Фидер Salmo Sniper Feeder 360 120г,Мощный фидер для дальнего заброса на реке.,5890,Фидеры,0.0,120.0,Фидер Salmo Sniper Feeder 360 120г. Фидеры. Мощный фидер для дальнего заброса на реке. test_min_0.0 test_max_120.0
13,Фидер Волжанка Оптима 390 150г,Классический фидер для любительской ловли.,5190,Фидеры,0.0,150.0,Фидер Волжанка Оптима 390 150г. Фидеры. Классический фидер для любительской ловли. test_min_0.0 test_max_150.0
14,Воблер Rapala X-Rap 100,Один из самых популярных воблеров для ловли щуки и судака.,1350,Воблеры,,,Воблер Rapala X-Rap 100. Воблеры. Один из самых популярных воблеров для ловли щуки и судака. test_min_nan test_max_nan
15,Воблер Yo-Zuri L-Minnow 66,Компактный воблер с агрессивной игрой.,950,Воблеры,,,Воблер Yo-Zuri L-Minnow 66. Воблеры. Компактный воблер с агрессивной игрой. test_min_nan test_max_nan
16,Воблер Salmo Hornet 5см,"Недорогой, но очень уловистый воблер.",690,Воблеры,,,"Воблер Salmo Hornet 5см. Воблеры. Недорогой, но очень уловистый воблер. test_min_nan test_max_nan"
17,"Силикон Keitech Swing Impact 3.8"" (10 шт)",Очень уловистый виброхвост для щуки и крупного окуня.,1050,Приманки,,,"Силикон Keitech Swing Impact 3.8"" (10 шт). Приманки. Очень уловистый виброхвост для щуки и крупного окуня. test_min_nan test_max_nan"
18,"Силикон Mann's Predator 4"" (8 шт)",Классическая силиконовая приманка.,780,Приманки,,,"Силикон Mann's Predator 4"" (8 шт). Приманки. Классическая силиконовая приманка. test_min_nan test_max_nan"
19,Блесна Mepps Aglia №3 золотая,Легендарная вращающаяся блесна.,480,Блесны,,,Блесна Mepps Aglia №3 золотая. Блесны. Легендарная вращающаяся блесна. test_min_nan test_max_nan
20,Блесна Blue Fox Vibrax №4,Качественная блесна с сильной вибрацией.,650,Блесны,,,Блесна Blue Fox Vibrax №4. Блесны. Качественная блесна с сильной вибрацией. test_min_nan test_max_nan
21,Зимний костюм Norfin Discovery,Тёплый мембранный костюм для зимней рыбалки.,16200,Одежда,,,Зимний костюм Norfin Discovery. Одежда. Тёплый мембранный костюм для зимней рыбалки. test_min_nan test_max_nan
22,Демисезонный костюм Azura Pro,Универсальный костюм для весны и осени.,9200,Одежда,,,Демисезонный костюм Azura Pro. Одежда. Универсальный костюм для весны и осени. test_min_nan test_max_nan
23,Подсак телескопический 200см треугольный,Удобный подсак для вываживания крупной рыбы.,2650,Аксессуары,,,Подсак телескопический 200см треугольный. Аксессуары. Удобный подсак для вываживания крупной рыбы. test_min_nan test_max_nan
24,Рыболовный ящик Plano 1364,Прочный ящик с множеством отсеков.,4150,Аксессуары,,,Рыболовный ящик Plano 1364. Аксессуары. Прочный ящик с множеством отсеков. test_min_nan test_max_nan
